word_count,grapheme_count,codepoint_count,src,single_line_width_px,wrapped_line_count,estimated_image_height_px,fits_single_line,pixels_per_grapheme
17,68,91,CulturaX,1731.4375,2,134,False,25.462316176470587
16,65,96,CulturaX,1818.6875,3,177,False,27.97980769230769
18,91,141,CulturaX,2543.828125,3,177,False,27.95415521978022
10,57,80,CulturaX,1526.515625,2,134,False,26.780975877192983
10,53,74,CulturaX,1439.078125,2,134,False,27.15241745283019
11,47,71,CulturaX,1311.359375,2,134,False,27.90126329787234
12,57,77,CulturaX,1462.625,2,134,False,25.660087719298247
16,76,107,CulturaX,2074.21875,3,177,False,27.29235197368421
35,157,232,CulturaX,4345.09375,5,263,False,27.67575636942675
9,38,59,CulturaX,1017.546875,2,134,False,26.777549342105264
10,39,57,CulturaX,1134.59375,2,134,False,29.092147435897434
12,67,90,CulturaX,1722.34375,2,134,False,25.706623134328357
13,51,74,CulturaX,1408.90625,2,134,False,27.62561274509804
7,30,48,CulturaX,816.59375,1,91,True,27.219791666666666
20,83,110,CulturaX,2186.1875,3,177,False,26.33960843373494
12,48,62,CulturaX,1265.96875,2,134,False,26.374348958333332
15,63,82,CulturaX,1607.828125,2,134,False,25.521081349206348
17,69,98,CulturaX,1907.734375,3,177,False,27.64832427536232
12,46,64,CulturaX,1208.0625,2,134,False,26.262228260869566
12,65,94,CulturaX,1743.75,2,134,False,26.826923076923077
38,177,254,CulturaX,4837.359375,6,306,False,27.329713983050848
8,41,59,CulturaX,1055.015625,2,134,False,25.732088414634145
17,74,106,CulturaX,2060.9375,3,177,False,27.850506756756758
18,75,99,CulturaX,1976.328125,3,177,False,26.351041666666667
21,81,114,CulturaX,1990.765625,3,177,False,24.577353395061728
8,30,35,CulturaX,709.953125,1,91,True,23.665104166666666
19,75,108,CulturaX,1987.703125,3,177,False,26.502708333333334
10,43,65,CulturaX,1117.828125,2,134,False,25.996002906976745
44,191,267,CulturaX,5259.734375,6,306,False,27.537876308900522
21,102,155,CulturaX,2913.28125,4,220,False,28.561580882352942
19,87,118,CulturaX,2233.1875,3,177,False,25.66882183908046
9,29,37,CulturaX,785.140625,1,91,True,27.073814655172413
12,47,66,CulturaX,1277.125,2,134,False,27.17287234042553
33,167,237,CulturaX,4404.3125,6,306,False,26.37312874251497
24,103,145,CulturaX,2707.625,3,177,False,26.2876213592233
7,32,45,CulturaX,966.34375,2,134,False,30.1982421875
23,98,137,CulturaX,2571.53125,3,177,False,26.240114795918366
18,91,136,CulturaX,2452.09375,3,177,False,26.946085164835164
33,130,181,CulturaX,3565.640625,4,220,False,27.428004807692307
27,115,159,CulturaX,2961.53125,4,220,False,25.752445652173915
11,48,66,CulturaX,1298.484375,2,134,False,27.0517578125
8,35,53,CulturaX,984.921875,2,134,False,28.140625
11,43,60,CulturaX,1101.828125,2,134,False,25.62390988372093
27,125,186,CulturaX,3452.296875,4,220,False,27.618375
30,129,175,CulturaX,3488.25,4,220,False,27.040697674418606
17,77,112,CulturaX,2233.109375,3,177,False,29.001420454545453
12,51,75,CulturaX,1330.859375,2,134,False,26.095281862745097
